Atualizado em: 2026-09-14
"ICAO";"Estrangeira";"Razao";"Servico";"Endereco";"Cidade";"UF";"CEP";"Telefone";"Email";"Instrumento";"Data";"Ativa"
"PLM";"EB";"WAMOS AIR S.A.";"ESTRANGEIRA REGULAR";"RUA DR MOTTA JUNIOR, 1400 AP 201 A, CENTRO";"SÃO JOSÉ DOS PINHAIS";"PR";"83.005-170";"(41) 99246-9124";"occ@flightsupportbrazil.com";"Portaria nº 19.439/SAS, de 12 de junho de 2026";"12/18/2025 12:00:00 AM";"ATIVA"
"IGA";"TE";"SKY TAXI SP. Z O.O.";"ESTRANGEIRA NÃO REGULAR";"AV. ERASMO BRAGA, 227 – GRUPO 905/908 – CENTRO";"RIO DE JANEIRO";"RJ";"20.020-902";"21 2524-2446 e 21 98148-6698";"ops@aeromartel.com.br";"Ofício nº 199/2025/GEAM Empresas/GEAM/SAS-ANAC";"11/3/2025 12:00:00 AM";"ATIVA"
"ARN";"AN";"AERONEXUS CORPORATE";"ESTRANGEIRA NÃO REGULAR";"RUA DAS ORQUÍDEAS, 737 – TORRE BUSINESS, SALA 413";"INDAIATUBA";"SP";"00.000-000";"N/I";"occ@flightsupportbrazil.com";"Ofício nº 3/2026/GEAM Empresas/GEAM/SAS-ANAC";"1/15/2026 12:00:00 AM";"ATIVA"
"WFL";"2W";"WORLD 2 FLY, S.L. - W2FLY";"ESTRANGEIRA NÃO REGULAR";"ALAMEDA SANTOS 2222, 2º ANDAR, CERQUEIRA CÉSAR ";"SÃO PAULO";"SP";"01.418-200";"000";"luisa@diciero.adv.br";"Ofício nº 13/2026/GEAM Empresas/GEAM/SAS-ANAC (SEI 12728447)";"1/29/2026 12:00:00 AM";"ATIVA"
"AJB";"Z0";"AMERICAN JET S.A.";"ESTRANGEIRA NÃO REGULAR";"RUA TENENTE SILVEIRA Nº 199 - SALA 705/706";"FLORIANÓPOLIS";"SC";"88.010-300";"(48) 3222-7267 / (48)9 9982-1000";"ccur@globo.com";"Ofício nº 240/2025/GEAM Empresas/GEAM/SAS-ANAC (SEI 12515109)";"12/26/2025 12:00:00 AM";"ATIVA"
"AMX";"AM";"AEROVÍAS DE MÉXICO S.A DE C.V - AEROMÉXICO";"ESTRANGEIRA REGULAR";"AV PAULISTA, 37, 4° ANDAR, PARAÍSO";"SÃO PAULO";"SP";"01.311-902";"(11) 3524-4500";"pgtinosco@almeidalaw.com.br";"";"null";"ATIVA"
"DWI";"DM";"ARAJET S.A.";"ESTRANGEIRA REGULAR";"AL. DOS MARACATINS, 508, 9 ANDAR";"SÃO PAULO";"SP";"04.089-001";"000";"rmaluf@maluferodrigues.adv.br";"";"7/17/2023 12:00:00 AM";"ATIVA"
"ANZ";"NZ";"AIR NEW ZEALAND LIMITED";"ESTRANGEIRA OFFLINE";"RUA HELENA, Nº 280, CONJUNTO 1101, VILA OLÍMPIA.";"SÃO PAULO";"SP";"04.552-050";"(11) 4371-0042 e (11) 4371-0443";"gisela@cmaldonado.com.br";"";"null";"ATIVA"
"GTR";"GT";"GALISTAIR TRANDING LTD.";"ESTRANGEIRA NÃO REGULAR";"RUA CONCEIÇÃO, 233, SALA 2510, ELISÁRIO PIRES DE CAMARGO Nº 141";"CAMPINAS";"SP";"13.070-099";"19 3714-1133";"luciano@ghelardi.com.br";"Ofício nº 141/2026/GEAM Empresas/GEAM/SAS-ANAC";"7/22/2026 12:00:00 AM";"ATIVA"
"CUB";"CU";"CUBANA DE AVIACION S.A.";"ESTRANGEIRA REGULAR";"RUA DA CONSOLAÇÃO, 222, CONJUNTOS 2006-2009";"SÃO PAULO";"SP";"01.302-000";"(011) 3214-4571 (011) 3214-2756 ";"pedro.ursula@cubanabrasil.com.br/abitbol@airways.com.br";"";"null";"ATIVA"
"UAE";"EK";"EMIRATES";"ESTRANGEIRA REGULAR";"R JAMES JOULE, 92, ANDAR 7 CJS.71 E 72, CIDADE MONCOES ";"SÃO PAULO";"SP";"04.576-080";"(11) 5503-5021/5503-5000";"camila.caparroz@emirates.com/stephane.perard@emirates.com";"";"null";"ATIVA"
"DTA";"DT";"TAAG LINHAS AÉREAS DE ANGOLA (ANGOLA AIRLINES)";"ESTRANGEIRA REGULAR";"AV. PRESIDENTE VARGAS, 542, GRUPOS 301 A 304 - CENTRO";"RIO DE JANEIRO";"RJ";"20.071-000";"(21) 2206-3050 / 2206-3051/(21)2516-2269 ";"leonardo.melo@taag.com.br";"";"null";"ATIVA"
"CVK";"CK";"CAVOK AIR";"ESTRANGEIRA NÃO REGULAR";"AV. ERASMO BRAGA 227 - GR. 905 A 908, CENTRO, RIO DE JANEIRO";"RIO DE JANEIRO";"RJ";"20.024-000";"21 2524-2446 / 21 98258-7573";"ops@aeromartel.com.b";"Ofício nº 217/2025/GEAM Empresas/GEAM/SAS-ANAC (SEI 12404108)";"12/1/2025 12:00:00 AM";"ATIVA"
"OBS";"6O";"ORBEST S.A.";"ESTRANGEIRA NÃO REGULAR";"AV. ERASMO BRAGA, 227  - GRUPO 905/908";"RIO DE JANEIRO";"RJ";"20.020-902";"21-2524-2446 e 21-98148-6698";"ops@aeromartel.com.br";"Ofício nº 63/2026/GEAM Empresas/GEAM/SAS-ANAC";"4/10/2026 12:00:00 AM";"ATIVA"
"CKS";"K4";"KALITTA AIR LLC";"ESTRANGEIRA REGULAR";"RUA MEN DE SÁ, 743, OPERÁRIO";"NOVO HAMBURGO";"RS";"93.510-050";"000";"moraesdonascimentodiego@gmail.com";"Portaria nº 17.716, de 21 de agosto de 2025";"10/31/2024 12:00:00 AM";"ATIVA"
"MLM";"6C";"COMLUX MALTA LIMITED";"ESTRANGEIRA NÃO REGULAR";"AV. ERASMO BRAGA, 227 – GRUPO 905/908 – CENTRO";"RIO DE JANEIRO";"RJ";"20.020-902";"21 2524-2446 e 21-98148-6698";"ops@aeromartel.com.br";"Ofício nº 137/2026/GEAM Empresas/GEAM/SAS-ANAC";"7/9/2026 12:00:00 AM";"ATIVA"
"BUY";"FA";"FREEDOM II BERMUDA LIMITED";"ESTRANGEIRA NÃO REGULAR";"RUA PAUL HARRIS, 344, CIDADE NOVA";"INDAIATUBA";"SP";"13.334-070";"41 992469124";"occ@flightsupportbrazil.com";"Ofício nº 53/2026/GEAM Empresas/GEAM/SAS-ANAC (SEI 13011370)";"3/19/2026 12:00:00 AM";"ATIVA"
"TAP";"TP";"TAP - TRANSPORTES AÉREOS PORTUGUESES S/A";"ESTRANGEIRA REGULAR";"AVENIDA PAULISTA, Nº 453, 14º ANDAR, BELA VISTA";"SÃO PAULO";"SP";"01.311-000";"(11) 2132-1866";"legal.brasil@tap.pt";"";"null";"ATIVA"
"BAW";"BA";"BRITISH AIRWAYS PLC";"ESTRANGEIRA REGULAR";"AV. PAULISTA, 2.202, CJS. 106 E 166 - BELA VISTA";"SÃO PAULO";"SP";"01.310-932";"(11) 3145-6000";"thiagocarvalho@asbz.com.br renansousa@asbz.com.br";"";"null";"ATIVA"
"EUS";"EC";"EURUS AVIATION S.A.P.I DE C.V";"ESTRANGEIRA NÃO REGULAR";"RUA GARIBALDI, 256 – TIJUCA";"RIO DE JANEIRO";"RJ";"00.000-000";"000";"d.pontes@dmxflights.com.br";"Ofício nº 96/2026/GEAM Empresas/GEAM/SAS-ANAC";"5/14/2026 12:00:00 AM";"ATIVA"
"OAE";"OY";"OMNI AIR INTERNATIONAL";"ESTRANGEIRA NÃO REGULAR";"RUA TUIUTI, 504 - JARDIM ROSSIGNATTI";"INDAIATUBA";"SP";"13.339-010";"(41) 99246-9124";"occ@flightsupportbrazil.com";"Ofício nº 213/2025/GEAM Empresas/GEAM/SAS-ANAC";"11/18/2025 12:00:00 AM";"ATIVA"
