Atualizado em: 2026-04-06
"ICAO";"Estrangeira";"Razao";"Servico";"Endereco";"Cidade";"UF";"CEP";"Telefone";"Email";"Instrumento";"Data";"Ativa"
"";"..";"AGRICENTER AVIAÇÃO AGRÍCOLA LTDA.";"AEROAGRÍCOLA";"RUA TIRADENTES Nº 481, CENTRO";"PONTA PORÃ";"MS";"79.904-620";"N/I";"N/I";"PORTARIA Nº 13.068, DE 6 DE NOVEMBRO DE 2023";"11/9/2023 12:00:00 AM";"ATIVA"
"";"..";"AERO AGRÍCOLA TELES PIRES LTDA";"AEROAGRÍCOLA, COMBATE A INCÊNDIOS";"ÁREA RODOVIA BR 163, S/N, BAIRRO ÁREA RURAL DE SORRISO, KM 734, SORRISO SENTIDO A LUCAS DO RIO VERDE";"SORRISO";"MT";"78.898-899";".";"danielweis1@hotmail.com";"PORTARIA Nº 11.213, DE 4 DE MAIO DE 2023";"5/11/2023 12:00:00 AM";"ATIVA"
"";"..";"AMM SERVIÇOS AÉREOS LTDA";"VOOS PANORÂMICOS";"RUA 256, N° 794, MEIA PRAIA";"ITAPEMA";"SC";"88.220-000";"(47) 3368 5055​";"amm-sae@hotmail.com";"Portaria nº 7.793, de 13.04.2022";"4/13/2022 12:00:00 AM";"ATIVA"
"";"..";"NAGANO E BORGES AVIAÇÃO AGRÍCOLA LTDA (AEROJET AVIAÇÃO AGRÍCOLA)";"AEROAGRÍCOLA";"RUA OTAMIRO SIDRÃO DE OLIVEIRA, LT 23, QUADRA 19, PARK DOS BURITIS";"ABAETETUBA";"PA";"68.552-805";".";"pilotooaero@gmail.com";"PORTARIA Nº 11.330, DE 16 DE MAIO DE 2023";"5/19/2023 12:00:00 AM";"ATIVA"
"";"";"AEROCLUBE DE SÃO JOSÉ DO RIO PRETO";"VOOS PANORÂMICOS";"AVENIDA DOS ESTUDANTES, Nº 3505, HANGAR CEL. CARLOS ORLEANS GUIMARÃES - BAIRRO: JARDIM NOVO AEROPORTO";"SÃO JOSÉ DO RIO PRETO";"SP";"15.035-010";".";"aeroclube.riopreto@hotmail.com";"Portaria nº 16593, DE 14 de março de 2025";"3/18/2025 12:00:00 AM";"ATIVA"
"";"..";"MÁXIMA AVIAÇÃO AGRÍCOLA EIRELI";"AEROAGRÍCOLA";"AV. ARAÉS, 1839, QD. 03, LT. 01, SALA D, CENTRO, CX. POSTAL 92";"NOVA XAVANTINA";"MT";"78.690-000";"(66) 99988-1480";"maxima.aviacaoagr@gruporx.com.br";"PORTARIA Nº 7.241";"2/11/2022 12:00:00 AM";"ATIVA"
"";"..";"HIGH CLASS TÁXI AÉREO LTDA";"TÁXI-AÉREO, TRANSPORTE AÉREO NÃO REGULAR";"AVENIDA OLAVO FONTOURA, 1078 LOTE 3 - SETOR D - PAVIMENTO E-57";"SÃO PAULO";"SP";"02.012-021";"N/I";"N/I";"PORTARIA Nº 11.332, DE 16 DE MAIO DE 2023";"5/19/2023 12:00:00 AM";"ATIVA"
"";"..";"JET BLACK PARTICIPAÇÕES LTDA";"TÁXI-AÉREO, TRANSPORTE AÉREO NÃO REGULAR";"RUA PADRE JOSÉ TEIXEIRA, 16, SALA 01, BAIRRO CAMBUÍ";"CAMPINAS";"SP";"13.025-087";"(43)3324-7788";"presidencia@jetblack.com.br";"PORTARIA Nº 11.464, DE 29 DE MAIO DE 2023";"6/1/2023 12:00:00 AM";"ATIVA"
"";"..";"AERO FARM SERVIÇOS DE PULVERIZAÇÃO E AVIAÇÃO AGRÍCOLA LTDA";"AEROAGRÍCOLA";"RUA ALENCAR BORTOLANZA, 150, BAIRRO INDUSTRIAL - 1ª ETAPA";"SORRISO";"MT";"78.898-103";"(66) 98114-0746";"alexandre_burin@hotmail.com";"PORTARIA Nº 7.917";"5/2/2022 12:00:00 AM";"ATIVA"
"";"..";"AMAZON GREEN TÁXI AÉREO E SERVIÇOS AERONÁUTICOS LTDA";"TÁXI-AÉREO";"AVENIDA DOS ESTUDANTES, Nº 3505, AEROPORTO ESTADUAL, ANEXO HANGAR 08";"SÃO JOSÉ DO RIO PRETO";"SP";"15.035-010";".";"tardelle@gmail.com";"PORTARIA Nº 11.700, DE 20 DE JUNHO DE 2023";"6/26/2023 12:00:00 AM";"ATIVA"
