Atualizado em: 2026-08-28
"ICAO Empresa Aérea";"Número Voo";"Código Autorização (DI)";"Código Tipo Linha";"ICAO Aeródromo Origem";"ICAO Aeródromo Destino";"Partida Prevista";"Partida Real";"Chegada Prevista";"Chegada Real";"Situação Voo";"Código Justificativa"
"ETH";"Z0506";"2";"I";"HAAB";"SBGR";"null";"2025-11-16 04:37:00";"null";"2025-11-16 16:41:00";"REALIZADO";"N/A"
"ETH";"Z0506";"2";"I";"HAAB";"SBGR";"null";"2025-11-23 04:15:00";"null";"2025-11-23 16:53:00";"REALIZADO";"N/A"
"ETH";"Z0506";"2";"I";"HAAB";"SBGR";"null";"2025-11-30 04:26:00";"null";"2025-11-30 16:39:00";"REALIZADO";"N/A"
"ETH";"Z0506";"2";"I";"SBGR";"SAEZ";"null";"2025-11-02 18:18:00";"null";"2025-11-02 21:21:00";"REALIZADO";"N/A"
"ETH";"Z0506";"2";"I";"SBGR";"SAEZ";"null";"2025-11-09 17:47:00";"null";"2025-11-09 20:39:00";"REALIZADO";"N/A"
"ETH";"Z0506";"2";"I";"SBGR";"SAEZ";"null";"2025-11-16 17:39:00";"null";"2025-11-16 20:20:00";"REALIZADO";"N/A"
"ETH";"Z0506";"2";"I";"SBGR";"SAEZ";"null";"2025-11-23 17:45:00";"null";"2025-11-23 20:36:00";"REALIZADO";"N/A"
"ETH";"Z0506";"2";"I";"SBGR";"SAEZ";"null";"2025-11-30 17:36:00";"null";"2025-11-30 20:26:00";"REALIZADO";"N/A"
"ETH";"Z3651";"2";"I";"DNMM";"SBGR";"null";"2025-11-23 17:09:00";"null";"2025-11-24 00:50:00";"REALIZADO";"N/A"
"ETH";"Z3651";"2";"I";"SBGR";"SCEL";"null";"2025-11-05 10:02:00";"null";"2025-11-05 14:16:00";"REALIZADO";"N/A"
"ETH";"Z3651";"2";"I";"SBGR";"SCEL";"null";"2025-11-07 11:53:00";"null";"2025-11-07 16:03:00";"REALIZADO";"N/A"
"ETH";"Z3651";"2";"I";"SBGR";"SCEL";"null";"2025-11-12 15:30:00";"null";"2025-11-12 19:22:00";"REALIZADO";"N/A"
"ETH";"Z3651";"2";"I";"SBGR";"SCEL";"null";"2025-11-19 09:52:00";"null";"2025-11-19 13:54:00";"REALIZADO";"N/A"
"ETH";"Z3651";"2";"I";"SBGR";"SCEL";"null";"2025-11-24 02:10:00";"null";"2025-11-24 05:57:00";"REALIZADO";"N/A"
"ETH";"Z3651";"2";"I";"SBGR";"SCEL";"null";"2025-11-26 17:12:00";"null";"2025-11-26 21:00:00";"REALIZADO";"N/A"
"ETH";"Z3651";"4";"I";"SBGR";"SEQM";"null";"2025-11-02 05:40:00";"null";"2025-11-02 11:22:00";"REALIZADO";"N/A"
"ETH";"Z3807";"2";"I";"DNMM";"SBGR";"null";"2025-11-21 10:14:00";"null";"2025-11-21 17:46:00";"REALIZADO";"N/A"
"ETH";"Z3807";"2";"I";"DNMM";"SBGR";"null";"2025-11-28 18:01:00";"null";"2025-11-29 01:53:00";"REALIZADO";"N/A"
"ETH";"Z3807";"2";"I";"SBGR";"SCEL";"null";"2025-11-21 19:31:00";"null";"2025-11-21 23:20:00";"REALIZADO";"N/A"
"ETH";"Z3807";"2";"I";"SBGR";"SCEL";"null";"2025-11-29 03:14:00";"null";"2025-11-29 09:17:00";"REALIZADO";"N/A"
"LAN";"0406";"0";"I";"SUMU";"SBGR";"2025-11-01 11:35:00";"2025-11-01 11:59:00";"2025-11-01 14:10:00";"2025-11-01 14:24:00";"REALIZADO";"N/A"
